Provider_Number,Facility_Name,Address,City,State,County,Profit_or_Non_Profit,Chain_Owned,Chain_Organization,No_Dialysis_Stations,Patient_Transfusion_category_text,transfusion_summary,hypercalcemia_summary,Serum_phosphorus_summary,Patient_hospitalization_category_text,Patient_Hospital_Readmission_Category,Patient_Survival_Category_Text,hospitalization_summary,hospital_readmission_summary,survival_summary,Patient_Infection_category_text,Fistula_Category_Text,fistula_summary,long_term_catheter_summary,Npcr_summary,SWR_category_text,PPPW_category_text
12528,FMC CAHABA VALLEY,120 CAHABA VALLEY PARKWAY,PELHAM,AL,SHELBY,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,43,68,72,As Expected,As Expected,As Expected,53,46,207,As Expected,As Expected,72,72,0,As Expected,As Expected
12529,DAVITA FLORENCE DIALYSIS,422 EAST DR. HICKS BLVD,FLORENCE,AL,LAUDERDALE,Profit,Yes,DAVITA,18,As Expected,105,130,139,As Expected,As Expected,As Expected,112,136,489,As Expected,As Expected,99,99,0,As Expected,As Expected
12530,RAI EAST 11TH ST ANNISTON,522 EAST 11TH STREET,ANNISTON,AL,CALHOUN,Profit,No,INDEPENDENT,21,As Expected,61,84,90,As Expected,As Expected,Worse than Expected,71,84,309,Better than Expected,As Expected,89,89,1,As Expected,As Expected
12306,CHILDRENS HOSPITAL DIALYSIS,1600 7TH AVENUE SOUTH,BIRMINGHAM,AL,JEFFERSON,Non-Profit,No,INDEPENDENT,7,Not Available,2,1,3,As Expected,Not Available,Not Available,12,9,65,Not Available,Not Available,2,2,14,As Expected,As Expected
12500,FMC CAPITOL CITY,255 S JACKSON STREET,MONTGOMERY,AL,MONTGOMERY,Profit,Yes,FRESENIUS MEDICAL CARE,34,As Expected,84,128,137,As Expected,As Expected,As Expected,102,91,404,Better than Expected,Worse than Expected,138,138,0,Worse than Expected,As Expected
12516,DSI SOUTH DIALYSIS,3201 3RD AVE SOUTH,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,DIVERSIFIED SPECIALTY INSTITUTES (DSI),20,As Expected,42,60,63,As Expected,As Expected,As Expected,46,51,203,As Expected,As Expected,54,54,0,Not Available,As Expected
12517,DAVITA ATHENS DIALYSIS,15953 ATHENS LIMESTONE DRIVE,ATHENS,AL,LIMESTONE,Profit,Yes,DAVITA,12,Worse than Expected,68,95,99,As Expected,As Expected,Worse than Expected,78,90,346,As Expected,As Expected,99,99,0,As Expected,As Expected
12519,FMC SCOTTSBORO,20998 JOHN T. REID HWY,SCOTTSBORO,AL,JACKSON,Profit,Yes,FRESENIUS MEDICAL CARE,21,As Expected,58,87,90,As Expected,As Expected,As Expected,68,65,269,As Expected,As Expected,89,89,1,As Expected,As Expected
12520,FRESENIUS KIDNEY CARE TROY,606 BOTTS AVE,TROY,AL,PIKE,Profit,Yes,FRESENIUS MEDICAL CARE,21,As Expected,51,72,76,As Expected,As Expected,As Expected,57,48,203,As Expected,As Expected,76,76,0,As Expected,As Expected
12521,DCI DOTHAN,1630 COLUMBIA HWY,DOTHAN,AL,HOUSTON,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",33,As Expected,113,153,167,As Expected,As Expected,As Expected,133,163,517,As Expected,As Expected,126,126,0,As Expected,As Expected
12522,FMC HUNTSVILLE,2325 PANSY STREET,HUNTSVILLE,AL,MADISON,Profit,Yes,FRESENIUS MEDICAL CARE,31,As Expected,50,67,72,As Expected,As Expected,As Expected,57,51,252,As Expected,As Expected,71,71,0,As Expected,As Expected
12523,DAVITA PHENIX CITY DIALYSIS CENTER,4391 RIVERCHASE DRIVE,PHENIX CITY,AL,RUSSELL,Profit,Yes,DAVITA,20,As Expected,60,91,95,As Expected,As Expected,Worse than Expected,73,71,336,As Expected,As Expected,87,87,0,As Expected,As Expected
12524,FMC EAST MOBILE,1217 GOVERNMENT ST,MOBILE,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,29,As Expected,127,199,212,As Expected,As Expected,As Expected,143,151,558,As Expected,As Expected,133,133,0,As Expected,As Expected
12531,FMC JACKSON (TOMBIGBEE),215 WALKER SPRINGS RD,JACKSON,AL,CLARKE,Profit,Yes,FRESENIUS MEDICAL CARE,25,As Expected,79,110,115,As Expected,As Expected,As Expected,87,72,333,As Expected,As Expected,99,99,0,As Expected,As Expected
12532,DCI EUFAULA,123 A EAST BARBOUR STREET,EUFAULA,AL,BARBOUR,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",14,As Expected,39,56,60,As Expected,As Expected,As Expected,48,31,185,As Expected,As Expected,60,60,0,Not Available,As Expected
12579,FMC DAUPHIN ISLAND PKWY,2381 DAUPHIN ISLAND PARKWAY,MOBILE,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,20,As Expected,59,91,93,As Expected,Worse than Expected,As Expected,67,84,282,As Expected,As Expected,93,93,0,As Expected,As Expected
12580,FMC THOMASVILLE,30230 HWY 43,THOMASVILLE,AL,CLARKE,Profit,Yes,FRESENIUS MEDICAL CARE,20,As Expected,43,53,56,As Expected,As Expected,As Expected,47,37,191,As Expected,As Expected,55,55,0,As Expected,As Expected
12582,FMC WILCOX,229 CAMDEN BYPASS,CAMDEN,AL,WILCOX,Profit,Yes,FRESENIUS MEDICAL CARE,10,As Expected,37,54,54,As Expected,As Expected,As Expected,43,35,162,As Expected,As Expected,54,54,0,As Expected,As Expected
12583,DAVITA BESSEMER DIALYSIS,901 WESTLAKE MALL,BESSEMER,AL,JEFFERSON,Profit,Yes,DAVITA,16,As Expected,35,57,60,As Expected,As Expected,As Expected,40,25,178,As Expected,As Expected,63,63,0,As Expected,As Expected
12585,DAVITA ENSLEY DIALYSIS,2630 AVENUE E,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,DAVITA,24,As Expected,72,100,107,As Expected,As Expected,As Expected,81,59,323,As Expected,Worse than Expected,107,107,0,As Expected,As Expected
12588,DAVITA SYLACAUGA DIALYSIS,331 JAMES PAYTON BLVD,SYLACAUGA,AL,TALLADEGA,Profit,Yes,DAVITA,18,As Expected,38,51,53,As Expected,As Expected,Worse than Expected,41,51,207,As Expected,As Expected,45,45,0,Not Available,As Expected
12594,DAVITA BOAZ DIALYSIS,16 CENTRAL HENDERSON ROAD,BOAZ,AL,MARSHALL,Profit,Yes,DAVITA,12,As Expected,51,59,61,As Expected,As Expected,As Expected,56,85,203,As Expected,As Expected,61,61,0,Not Available,As Expected
12595,RCG FORT PAYNE,2202 JORDAN ROAD SW,FORT PAYNE,AL,NA,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,52,67,74,As Expected,As Expected,As Expected,60,59,235,Better than Expected,As Expected,68,68,0,As Expected,As Expected
12596,FKC MONTGOMERY,3625 MCGEHEE PLACE DRIVE NORTH,MONTGOMERY,AL,MONTGOMERY,Profit,Yes,FRESENIUS MEDICAL CARE,33,As Expected,99,133,142,As Expected,Better than Expected,As Expected,110,142,443,Better than Expected,As Expected,141,141,0,As Expected,As Expected
12566,FMC SYLACAUGA,314 WEST SPRING STREET,SYLACAUGA,AL,TALLADEGA,Profit,Yes,FRESENIUS MEDICAL CARE,12,As Expected,32,42,47,As Expected,As Expected,As Expected,40,38,166,As Expected,As Expected,45,45,0,Not Available,As Expected
12568,FMC PARKWAY,1311 N MEMORIAL PKWY STE 100,HUNTSVILLE,AL,MADISON,Profit,Yes,FRESENIUS MEDICAL CARE,15,As Expected,41,56,57,As Expected,As Expected,As Expected,48,56,215,As Expected,As Expected,57,57,0,Not Available,As Expected
12570,DAVITA NORTHORT DIALYSIS,2401 HOSPITAL DRIVE,NORTHPORT,AL,TUSCALOOSA,Profit,Yes,DAVITA,14,As Expected,64,87,89,As Expected,Better than Expected,As Expected,72,91,295,As Expected,As Expected,93,93,0,As Expected,As Expected
12571,DCI GEORGIANA,715 MEETING ST,GEORGIANA,AL,BUTLER,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",10,As Expected,22,27,27,As Expected,As Expected,As Expected,27,45,118,As Expected,As Expected,27,27,0,Not Available,As Expected
12572,FMC CAMELLIA,350 PAUL STABLER DRIVE,GREENVILLE,AL,BUTLER,Profit,Yes,FRESENIUS MEDICAL CARE,21,As Expected,58,77,81,As Expected,As Expected,As Expected,68,69,283,Better than Expected,As Expected,85,85,0,As Expected,As Expected
12573,DCI BIRMINGHAM,8713 PARKWAY EAST,BIRMINGHAM,AL,JEFFERSON,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",16,As Expected,33,44,47,As Expected,As Expected,As Expected,35,29,164,As Expected,As Expected,47,47,0,Not Available,As Expected
12535,DAVITA PDI-PRATTVILLE,600 MCQUEEN SMITH ROAD SOUTH,PRATTVILLE,AL,AUTAUGA,Profit,Yes,DAVITA,16,As Expected,47,64,64,As Expected,As Expected,As Expected,53,62,232,Better than Expected,As Expected,65,65,0,As Expected,As Expected
12536,FMC MONTCLAIR,7780 LUDINGTON LANE,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,24,Worse than Expected,50,65,69,As Expected,As Expected,As Expected,52,74,217,As Expected,As Expected,69,69,0,Not Available,As Expected
12537,FMC PRICHARD,4016 HWY 45,WHISTLER,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,25,As Expected,66,108,110,As Expected,As Expected,As Expected,75,79,327,As Expected,As Expected,112,112,1,As Expected,As Expected
12538,RCG ANDALUSIA,1208 WEST BYPASS,ANDALUSIA,AL,COVINGTON,Profit,Yes,FRESENIUS MEDICAL CARE,21,As Expected,57,73,79,As Expected,As Expected,As Expected,69,113,246,As Expected,As Expected,70,70,0,As Expected,As Expected
12540,FMC MONROEVILLE (WHETSTONE),676 S ALABAMA AVE,MONROEVILLE,AL,MONROE,Profit,Yes,FRESENIUS MEDICAL CARE,20,As Expected,60,76,81,As Expected,As Expected,As Expected,64,55,230,As Expected,As Expected,76,76,0,As Expected,As Expected
12541,FMC DADEVILLE,52 WATERWORKS RD,DADEVILLE,AL,TALLAPOOSA,Profit,Yes,FRESENIUS MEDICAL CARE,15,As Expected,40,52,53,As Expected,As Expected,As Expected,43,26,195,As Expected,Better than Expected,53,53,0,Not Available,As Expected
12542,DAVITA RAINBOW CITY DIALYSIS,2800 RAINBOW DRIVE,RAINBOW CITY,AL,ETOWAH,Profit,Yes,DAVITA,16,As Expected,44,72,77,As Expected,As Expected,As Expected,53,60,241,As Expected,As Expected,55,55,0,As Expected,As Expected
12543,DAVITA DEMOPOLIS DIALYSIS,511 S CEDAR AVE,DEMOPOLIS,AL,MARENGO,Profit,Yes,DAVITA,15,As Expected,52,67,73,As Expected,As Expected,Worse than Expected,57,53,262,Better than Expected,Worse than Expected,68,68,0,As Expected,As Expected
12589,DAVITA BIRMINGHAM NORTH DIALYSIS,1917 32ND AVENUE NORTH,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,DAVITA,24,As Expected,61,96,96,As Expected,As Expected,As Expected,65,58,290,As Expected,Worse than Expected,97,97,0,Worse than Expected,As Expected
12590,DCI MOULTON,1962 MAIN STREET,MOULTON,AL,LAWRENCE,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",12,As Expected,28,34,38,As Expected,As Expected,As Expected,32,31,148,As Expected,As Expected,35,35,0,Not Available,As Expected
12591,"NNA OF ALABAMA, INC",1010 FIRST STREET NORTH,ALABASTER,AL,SHELBY,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,48,65,66,As Expected,As Expected,As Expected,55,61,212,As Expected,As Expected,66,66,0,Not Available,As Expected
12592,DAVITA BIRMINGHAM CENTRAL DIALYSIS,728 RICHARD ARRINGTON BLVD S,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,DAVITA,32,As Expected,58,85,87,As Expected,As Expected,As Expected,62,59,259,As Expected,As Expected,87,87,0,As Expected,As Expected
12593,FMC ODYSSEY DIALYSIS,40 HUGHES ROAD,MADISON,AL,MADISON,Profit,Yes,FRESENIUS MEDICAL CARE,15,As Expected,51,62,67,As Expected,As Expected,As Expected,56,48,213,Better than Expected,As Expected,67,67,0,As Expected,As Expected
12508,DAVITA BIRMINGHAM EAST DIALYSIS,1105 EAST PARK DRIVE,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,DAVITA,20,As Expected,44,63,70,As Expected,As Expected,Worse than Expected,52,61,271,As Expected,As Expected,70,70,0,As Expected,As Expected
12509,FMC NORTH ALABAMA,1311 N MEMORIAL PKWY #200,HUNTSVILLE,AL,MADISON,Profit,Yes,FRESENIUS MEDICAL CARE,22,As Expected,53,77,78,As Expected,As Expected,As Expected,59,60,257,As Expected,As Expected,79,79,0,As Expected,As Expected
12512,FMC SELMA,905 MEDICAL CENTER PARKWAY,SELMA,AL,DALLAS,Profit,Yes,FRESENIUS MEDICAL CARE,26,As Expected,71,85,91,As Expected,As Expected,As Expected,74,69,290,As Expected,As Expected,83,83,0,As Expected,As Expected
12513,FMC LANGDALE,8 MEDICAL PARK,VALLEY,AL,CHAMBERS,Profit,Yes,FRESENIUS MEDICAL CARE,19,As Expected,61,78,83,As Expected,As Expected,As Expected,66,52,249,As Expected,Better than Expected,83,83,0,As Expected,As Expected
12515,FMC OPELIKA,2609 VILLAGE PROFESSIONAL DR,OPELIKA,AL,LEE,Profit,Yes,FRESENIUS MEDICAL CARE,31,As Expected,110,148,155,As Expected,As Expected,As Expected,116,79,466,As Expected,Better than Expected,128,128,0,As Expected,As Expected
12558,DCI DECATUR,1601 6TH AVENUE SOUTH EAST,DECATUR,AL,MORGAN,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",24,As Expected,47,70,71,As Expected,As Expected,As Expected,60,68,471,As Expected,As Expected,70,70,0,As Expected,As Expected
12559,FMC UNIVERSITY SOUTH ALABAMA,700 CLINIC DRIVE,MOBILE,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,22,As Expected,63,105,112,As Expected,As Expected,As Expected,75,89,313,As Expected,As Expected,92,92,0,As Expected,As Expected
12561,FKC ARAB,310 SOUTH BRINDLEE MOUNTAIN PARKWAY,ARAB,AL,MARSHALL,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,39,59,70,As Expected,As Expected,As Expected,42,35,225,Better than Expected,As Expected,70,70,0,Not Available,As Expected
12562,DCI PELL CITY,62 COGSWELL DRIVE,PELL CITY,AL,SAINT CLAIR,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",15,As Expected,21,31,34,As Expected,As Expected,As Expected,22,15,105,As Expected,As Expected,35,35,0,Not Available,As Expected
12563,DCI CULLMAN,1734 EVA ROAD NE,CULLMAN,AL,CULLMAN,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",16,As Expected,65,72,85,As Expected,As Expected,As Expected,76,83,317,As Expected,As Expected,83,83,0,Not Available,As Expected
12565,DAVITA SOUTH BALDWIN DIALYSIS CENTER,150 W PEACHTREE AVE,FOLEY,AL,BALDWIN,Profit,Yes,DAVITA,13,As Expected,21,28,30,As Expected,As Expected,As Expected,23,45,84,As Expected,As Expected,31,31,0,Not Available,As Expected
12574,FMC CHAMBERS,802 HOSPITAL STREET,LAFAYETTE,AL,CHAMBERS,Profit,Yes,FRESENIUS MEDICAL CARE,10,As Expected,27,38,42,As Expected,As Expected,Better than Expected,32,25,129,As Expected,Better than Expected,42,42,0,Not Available,As Expected
12575,RCG WALKER,3510 3RD STREET NE,JASPER,AL,WALKER,Profit,Yes,FRESENIUS MEDICAL CARE,22,Worse than Expected,41,58,65,As Expected,As Expected,Worse than Expected,46,58,216,As Expected,As Expected,65,65,0,As Expected,As Expected
12576,DCI MONTGOMERY,544 SOUTH MCDONOUGH STREET,MONTGOMERY,AL,MONTGOMERY,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",24,As Expected,51,80,82,As Expected,As Expected,As Expected,61,60,307,As Expected,As Expected,74,74,0,Not Available,As Expected
12578,RCG SOUTHSIDE,2131 MAGNOLIA AVE SOUTH #100,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,16,As Expected,48,59,59,As Expected,As Expected,As Expected,53,58,202,As Expected,As Expected,62,62,0,Not Available,As Expected
12633,FMC PRATTVILLE,692 COVERED BRIDGE PARKWAY,PRATTVILLE,AL,AUTAUGA,Profit,Yes,FRESENIUS MEDICAL CARE,18,Worse than Expected,50,83,95,As Expected,As Expected,As Expected,65,65,242,Better than Expected,As Expected,95,95,0,As Expected,As Expected
12634,FMC FOLEY,230 EAST FERN AVENUE,FOLEY,AL,BALDWIN,Profit,Yes,FRESENIUS MEDICAL CARE,16,As Expected,49,68,74,As Expected,As Expected,As Expected,55,70,201,As Expected,As Expected,73,73,0,Not Available,As Expected
12636,FMC JAGUAR,575 STANTON ROAD,MOBILE,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,26,As Expected,78,114,122,As Expected,As Expected,As Expected,87,118,371,As Expected,Worse than Expected,122,122,0,Worse than Expected,As Expected
12637,DCI HIGHLAND PARK,1912 CHERRY STREET,MONTGOMERY,AL,MONTGOMERY,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",15,As Expected,58,79,79,As Expected,As Expected,As Expected,61,86,277,Better than Expected,As Expected,81,81,0,As Expected,As Expected
12638,FMC HOOVER,2104 LORNA RIDGE LANE,HOOVER,AL,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,12,As Expected,47,65,66,As Expected,As Expected,As Expected,55,60,173,Better than Expected,As Expected,66,66,0,Not Available,As Expected
12639,FMC MONTEVALLO,3883 HIGHWAY 25,MONTEVALLO,AL,SHELBY,Profit,Yes,FRESENIUS MEDICAL CARE,10,As Expected,25,41,46,As Expected,As Expected,As Expected,26,25,109,As Expected,As Expected,46,46,0,Not Available,As Expected
12640,DAVITA PICKENS COUNTY DIALYSIS,289 WILLIAM E HILL DRIVE,CARROLLTON,AL,PICKENS,Profit,Yes,DAVITA,14,As Expected,59,71,74,As Expected,As Expected,As Expected,61,60,207,As Expected,Worse than Expected,74,74,0,Worse than Expected,As Expected
12597,FMC BAY MINETTE,2505 HAND AVENUE,BAY MINETTE,AL,BALDWIN,Profit,Yes,FRESENIUS MEDICAL CARE,18,As Expected,39,54,56,As Expected,As Expected,As Expected,44,42,189,As Expected,As Expected,57,57,0,Not Available,As Expected
12598,DCI PHENIX CITY,1611 21ST COURT,PHENIX CITY,AL,RUSSELL,Profit,Yes,"DIALYSIS CLINIC, INC.",12,As Expected,36,50,52,As Expected,As Expected,As Expected,44,45,186,As Expected,As Expected,54,54,0,Not Available,As Expected
12599,FMC PORT CITY,"201 ST. JOSEPH STREET, SUITE B",MOBILE,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,20,As Expected,57,90,100,As Expected,Worse than Expected,Worse than Expected,68,112,297,Better than Expected,As Expected,101,101,0,As Expected,As Expected
12600,DAVITA ATMORE DIALYSIS CENTER,807 EAST CRAIG STREET,ATMORE,AL,ESCAMBIA,Profit,Yes,DAVITA,10,As Expected,34,48,52,As Expected,As Expected,Worse than Expected,40,37,171,As Expected,As Expected,53,53,0,Not Available,As Expected
12601,FMC WEST,633 LOMB AVENUE,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,61,93,97,As Expected,As Expected,As Expected,66,89,285,Better than Expected,Worse than Expected,97,97,0,As Expected,As Expected
12602,DAVITA RUSSELLVILLE DIALYSIS,14897 HWY 43,RUSSELLVILLE,AL,FRANKLIN,Profit,Yes,DAVITA,10,As Expected,45,53,57,As Expected,As Expected,Worse than Expected,48,45,159,As Expected,As Expected,58,58,0,Not Available,As Expected
12603,FMC FAIRFIELD (STEEL CITY),6508 E. J. OLIVER BLVD,FAIRFIELD,AL,JEFFERSON,Profit,Yes,RENAL CARE GROUP INC.,12,As Expected,36,55,54,As Expected,As Expected,As Expected,42,43,160,As Expected,Worse than Expected,57,57,0,Not Available,As Expected
12604,RCG CLANTON,275 HEALTH CENTER DRIVE,CLANTON,AL,CHILTON,Profit,Yes,FRESENIUS MEDICAL CARE,12,As Expected,40,60,62,As Expected,As Expected,As Expected,45,65,185,As Expected,As Expected,62,62,0,Not Available,As Expected
12544,DAVITA OZARK DIALYSIS,195 BUNTING DRIVE,OZARK,AL,DALE,Profit,Yes,DAVITA,19,As Expected,43,57,61,As Expected,As Expected,As Expected,49,36,214,As Expected,As Expected,63,63,0,Not Available,As Expected
12545,DAVITA TUSCALOOSA DIALYSIS,805 OLD MILL STREET,TUSCALOOSA,AL,TUSCALOOSA,Profit,Yes,DAVITA,19,As Expected,78,95,98,As Expected,As Expected,As Expected,83,109,362,As Expected,Worse than Expected,101,101,0,Worse than Expected,As Expected
12546,FMC TUSKEGEE,802 E. MARTIN LUTHER KING HWY,TUSKEGEE,AL,MACON,Profit,Yes,FRESENIUS MEDICAL CARE,28,Worse than Expected,38,67,70,As Expected,As Expected,As Expected,45,22,232,As Expected,As Expected,69,69,0,Not Available,As Expected
12547,FMC EASTERN SHORE,124 PROFESSIONAL PARK DR,FAIRHOPE,AL,BALDWIN,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,51,91,96,As Expected,As Expected,As Expected,61,78,273,As Expected,As Expected,95,95,0,As Expected,As Expected
12548,DAVITA FAYETTE DIALYSIS,2450 TEMPLE AVE N,FAYETTE,AL,FAYETTE,Profit,Yes,DAVITA,10,As Expected,30,36,38,As Expected,As Expected,As Expected,36,38,151,As Expected,As Expected,38,38,0,Not Available,As Expected
12550,DAVITA GREENE COUNTY DIALYSIS,544 HIGHWAY 43,EUTAW,AL,GREENE,Profit,Yes,DAVITA,12,As Expected,38,48,49,As Expected,As Expected,As Expected,41,53,200,As Expected,As Expected,49,49,0,Not Available,As Expected
12551,DAVITA SHEFFIELD DIALYSIS,1120 S JACKSON HWY STE 107,SHEFFIELD,AL,COLBERT,Profit,Yes,DAVITA,12,As Expected,50,59,64,As Expected,As Expected,As Expected,52,69,228,As Expected,As Expected,65,65,0,Not Available,As Expected
12552,BIO-MEDICAL APPLICATIONS OF ALABAMA INC,65 NORTH CATHERINE STREET,MOBILE,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,25,As Expected,79,117,122,As Expected,As Expected,As Expected,91,114,317,As Expected,Worse than Expected,124,124,0,As Expected,As Expected
12553,DAVITA PDI-ELMORE COUNTY,125 HOSPITAL DRIVE,WETUMPKA,AL,ELMORE,Profit,Yes,DAVITA,10,As Expected,32,48,52,As Expected,As Expected,As Expected,38,34,133,As Expected,As Expected,52,52,0,Not Available,As Expected
12556,"NNA OF ALABAMA, INC",7067 VETERANS PKWY SUITE 120,PELL CITY,AL,SAINT CLAIR,Profit,Yes,FRESENIUS MEDICAL CARE,13,As Expected,33,49,55,As Expected,As Expected,As Expected,38,32,157,As Expected,As Expected,55,55,0,Not Available,As Expected
12622,DAVITA TALLADEGA DIALYSIS,726 E BATTLE STREET,TALLADEGA,AL,TALLADEGA,Profit,Yes,DAVITA,13,As Expected,39,47,49,As Expected,As Expected,As Expected,42,38,158,As Expected,As Expected,44,44,0,Not Available,As Expected
12623,DAVITA CENTER POINT DIALYSIS,2337 1ST ST NE,CENTER POINT,AL,JEFFERSON,Profit,Yes,DAVITA,16,As Expected,43,60,65,As Expected,As Expected,Worse than Expected,45,59,189,As Expected,As Expected,65,65,0,As Expected,As Expected
12624,FMC MIDFIELD DIALYSIS,613 BESSEMER SUPER HIGHWAY,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,24,Worse than Expected,70,99,100,As Expected,As Expected,As Expected,79,113,308,As Expected,Worse than Expected,100,100,0,As Expected,As Expected
12625,RAI JACKSONVILLE,"331 HENRY RD, S.W.",JACKSONVILLE,AL,CALHOUN,Profit,Yes,FRESENIUS MEDICAL CARE,16,As Expected,57,67,71,As Expected,As Expected,As Expected,66,54,258,As Expected,As Expected,71,71,0,As Expected,As Expected
12626,FMC NORTHWEST ALABAMA KIDNEY CENTER,638 TAHOE ROAD,WINFIELD,AL,MARION,Profit,Yes,FRESENIUS MEDICAL CARE,10,As Expected,27,32,35,As Expected,As Expected,As Expected,29,35,111,As Expected,As Expected,35,35,0,Not Available,As Expected
12627,DAVITA HOME DIALYSIS OPTIONS OF BALDWIN COUNTY PD,"27880 N. MAIN ST, SUITE A",DAPHNE,AL,BALDWIN,Profit,Yes,DAVITA,4,Not Available,7,9,9,As Expected,Not Available,Not Available,8,6,39,Not Available,Not Available,3,3,0,Not Available,Not Available
